5L Creative Media: Photography (PRA1)/01,Tuesday,14:00,16:00,~LAB GREEN (MAC),0000000000000000000111111111100110000000000000000000,P4076,Media and Film,"05 Feb 2019,12 Feb 2019,19 Feb 2019,26 Feb 2019,05 Mar 2019,12 Mar 2019,19 Mar 2019,26 Mar 2019,02 Apr 2019,09 Apr 2019,30 Apr 2019,07 May 2019"
5L Creative Media: Photography (PRA1)/02,Thursday,11:00,13:00,~LAB RED (MAC),0000000000000000000111111111100110000000000000000000,P4076,Media and Film,"07 Feb 2019,14 Feb 2019,21 Feb 2019,28 Feb 2019,07 Mar 2019,14 Mar 2019,21 Mar 2019,28 Mar 2019,04 Apr 2019,11 Apr 2019,02 May 2019,09 May 2019"
5L Creative Media: Photography (WOR1)/01,Tuesday,9:00,11:00,~LAB GREEN (MAC),0000000000000000000111111111100110000000000000000000,P4076,Media and Film,"05 Feb 2019,12 Feb 2019,19 Feb 2019,26 Feb 2019,05 Mar 2019,12 Mar 2019,19 Mar 2019,26 Mar 2019,02 Apr 2019,09 Apr 2019,30 Apr 2019,07 May 2019"
5L Creative Media: Photography (WOR1)/02,Thursday,9:00,11:00,~LAB RED (MAC),0000000000000000000111111111100110000000000000000000,P4076,Media and Film,"07 Feb 2019,14 Feb 2019,21 Feb 2019,28 Feb 2019,07 Mar 2019,14 Mar 2019,21 Mar 2019,28 Mar 2019,04 Apr 2019,11 Apr 2019,02 May 2019,09 May 2019"
5L Creative Media: Screen Drama (PRA1)/03,Wednesday,11:00,13:00,~LAB PURPLE (MAC),0000000000000000000111111111100110000000000000000000,P5029,Media and Film,"06 Feb 2019,13 Feb 2019,20 Feb 2019,27 Feb 2019,06 Mar 2019,13 Mar 2019,20 Mar 2019,27 Mar 2019,03 Apr 2019,10 Apr 2019,01 May 2019,08 May 2019"
5L Creative Media: Screen Drama (WOR1)/03,Wednesday,9:00,11:00,~LAB PURPLE (MAC),0000000000000000000111111111100110000000000000000000,P5029,Media and Film,"06 Feb 2019,13 Feb 2019,20 Feb 2019,27 Feb 2019,06 Mar 2019,13 Mar 2019,20 Mar 2019,27 Mar 2019,03 Apr 2019,10 Apr 2019,01 May 2019,08 May 2019"
5L Creative Media: Sound (PRA1)/01,Friday,16:00,18:00,~LAB (SB-209) (MAC),0000000000000000000111111111100110000000000000000000,P4077,Media and Film,"08 Feb 2019,15 Feb 2019,22 Feb 2019,01 Mar 2019,08 Mar 2019,15 Mar 2019,22 Mar 2019,29 Mar 2019,05 Apr 2019,12 Apr 2019,03 May 2019,10 May 2019"
5L Creative Media: Sound (WOR1)/01,Friday,14:00,16:00,~LAB (SB-209) (MAC),0000000000000000000111111111100110000000000000000000,P4077,Media and Film,"08 Feb 2019,15 Feb 2019,22 Feb 2019,01 Mar 2019,08 Mar 2019,15 Mar 2019,22 Mar 2019,29 Mar 2019,05 Apr 2019,12 Apr 2019,03 May 2019,10 May 2019"
5L Digital Cultures B (SEM1)/01,Friday,10:00,11:00,FUL-210,0000000000000000000111111111100110000000000000000000,P3067,Media and Film,"08 Feb 2019,15 Feb 2019,22 Feb 2019,01 Mar 2019,08 Mar 2019,15 Mar 2019,22 Mar 2019,29 Mar 2019,05 Apr 2019,12 Apr 2019,03 May 2019,10 May 2019"
5L Digital Cultures B (SEM1)/03,Thursday,13:00,14:00,FUL-214,0000000000000000000111111111100110000000000000000000,P3067,Media and Film,"07 Feb 2019,14 Feb 2019,21 Feb 2019,28 Feb 2019,07 Mar 2019,14 Mar 2019,21 Mar 2019,28 Mar 2019,04 Apr 2019,11 Apr 2019,02 May 2019,09 May 2019"
